原链接,原抖音视频,处理后素材,标题,文字,视频url,内容按互动数从高到低排列
https://www.douyin.com/video/7190670150067162405,,,懂车帝公布了2022年年度好车，快看看有没有你的车？#车圈硬核年终奖出炉,,http://v26-web.douyinvod.com/b844c80cb4f132ad9d4e253f29157ba2/65ea8d55/video/tos/cn/tos-cn-ve-15c001-alinc2/ocASDRyygQN9AQ40jeoLi4e3AXAKCmbdBUgSnX/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1923&bt=1923&cs=0&ds=4&ft=bvTKJbQQqU-mfJ40Do0OqY8hFgpiIZ82ejKJLG7moG0P3-I&mime_type=video_mp4&qs=0&rc=aDtmODw6aDtmMzw5Z2hpNEBpamRqZjk6ZjM5aTMzNGkzM0BgNF4xMzExNjMxYjExYzRgYSMxa19ocjQwNTJgLS1kLS9zcw%3D%3D&btag=e00028000&cquery=100a&dy_q=1709866692&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=202403081058120421A5AA1A865E53DCBE,
https://www.douyin.com/video/7190300862315629864,,,买车到底怎么选？懂车帝2022年度车榜单来咯～#车圈硬核年终奖出炉,,http://v26-web.douyinvod.com/75e89980c493803bdc5f3e2fca4ea3a6/65ea8d27/video/tos/cn/tos-cn-ve-15c001-alinc2/oMRBf8cb3RgjeAAMQQLM9owngDIANlgrpTyuo1/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=3174&bt=3174&cs=0&ds=4&ft=bvTKJbQQqU-mfJ40Do0OqY8hFgpizZ82ejKJLG7moG0P3-I&mime_type=video_mp4&qs=0&rc=aDc4Mzg3ZTc3ZGg0aDZoNEBpM3I6Zzk6ZjpraTMzNGkzM0A1NTQxYV9gNV4xMDE2MS5jYSMwcGFecjQwNTFgLS1kLWFzcw%3D%3D&btag=e00028000&cquery=100a&dy_q=1709866693&feature_id=59cb2766d89ae6284516c6a254e9fb61&l=20240308105812CA18C4F4480E09557E0E,
https://www.douyin.com/video/7237427721989623098,,,#开屏广告懂车帝 #每天推荐好车 #dou是好车 #宝马X7,,http://v26-web.douyinvod.com/423c7a4f184cd985050ceca1628b501a/65ea8d5f/video/tos/cn/tos-cn-ve-15c001-alinc2/o8todin2QeABIZBcigDCn0AtAPIfb9rikclzg1/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=1352&bt=1352&cs=0&ds=4&ft=bvTKJbQQqU-mfJ40Do0OqY8hFgpizZ82ejKJLG7moG0P3-I&mime_type=video_mp4&qs=0&rc=PDpmaWc7M2RmZDw1NjVmNkBpanRxZTo6Znc7azMzNGkzM0A0Mi42YzJhX2MxMV4wLWA2YSNsNWZvcjRnLWxgLS1kLS9zcw%3D%3D&btag=e00028000&cquery=100a&dy_q=1709866693&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=202403081058139C6852E638E483647740,
https://www.douyin.com/video/7299311081569258779,,,奥迪的四驱可以吊打奔驰宝马，地表最强四驱！#抖音汽车,,http://v26-web.douyinvod.com/bde2228b5fc4842025c10cf6384d2bd0/65ea8cfa/video/tos/cn/tos-cn-ve-15c001-alinc2/o4AgALQgCdAFMEFatX9LxTfsfzDUABZIXgtl1M/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=2828&bt=2828&cs=0&ds=4&ft=bvTKJbQQqU-mfJ40Do0OqY8hFgpizZ82ejKJLG7moG0P3-I&mime_type=video_mp4&qs=0&rc=PDM1NGc8ZmY1ZTM4Ozg2OUBpMzgzZ3I5cmw4bzMzNGkzM0A0NWMvMTAyNmMxLjVgLzQwYSNna2ZxMmRzbTNgLS1kLS9zcw%3D%3D&btag=e00018000&cquery=100a&dy_q=1709866693&feature_id=46a7bb47b4fd1280f3d3825bf2b29388&l=20240308105813BC223DBA46A06456710F,
https://www.douyin.com/video/7088621020201995528,,,“艾特谁就叫谁给你整一辆！”#奔驰 #奔驰gls ,,http://v26-web.douyinvod.com/e4e41fbe0e9b6d8430bf16ae28f2ea7f/65ea8cde/video/tos/cn/tos-cn-ve-15c001-alinc2/623417d269c548739e7b119561aeae8c/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=3115&bt=3115&cs=0&ds=4&ft=bvTKJbQQqU-mfJ40Do0OqY8hFgpi4Z82ejKJLG7moG0P3-I&mime_type=video_mp4&qs=0&rc=NzQ1aTxmOWk8OzY5ZGY6M0Bpamw7Zmg6Zm53PDMzNGkzM0BiYGE2NjNiNS4xNTQ0LTReYSM1NC5rcjRnYmNgLS1kLS9zcw%3D%3D&btag=e00008000&cquery=100a&dy_q=1709866694&l=20240308105814832B6EB86C0651539FB3,
https://www.douyin.com/video/7328746701454347570,,,盘点一下各大车企高端品牌车都有哪些,,http://v3-web.douyinvod.com/260ae69410bf53a4f40de6965294ffeb/65ea8cf6/video/tos/cn/tos-cn-ve-15c001-alinc2/oktACBEPWODZ9CgOB5AYF2pAfnCgllIAfhQ0uR/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=3145&bt=3145&cs=0&ds=4&ft=bvTKJbQQqU-mfJ40Do0OqY8hFgpi4Z82ejKJLG7moG0P3-I&mime_type=video_mp4&qs=0&rc=OWlpZmY8NmU5ZTM3ZTwzaUBpajo1Z205cndpcDMzNGkzM0A1Ll80MC5gXy8xXl4xYDA0YSMtbG5yMmQ0LW5gLS1kLS9zcw%3D%3D&btag=e00018000&cquery=100a&dy_q=1709866694&feature_id=46a7bb47b4fd1280f3d3825bf2b29388&l=20240308105814F6CE725F7B13EC6FF45C,
https://www.douyin.com/video/7217263582516399420,,,#开屏广告懂车帝 #懂车帝拍车赚钱计划 #揽胜#热门视频 #这才是新生代豪华轿车该有的样子,,http://v26-web.douyinvod.com/bdf3087ace8daf8347d3f5c4474a5806/65ea8d24/video/tos/cn/tos-cn-ve-15c001-alinc2/oMAhQkNBj66DAoe9epIgy5ACjpgbKWBvjMKQHn/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=864&bt=864&cs=0&ds=4&ft=bvTKJbQQqU-mfJ40Do0OqY8hFgpi4Z82ejKJLG7moG0P3-I&mime_type=video_mp4&qs=0&rc=ODo8aDZpMzgzZjZkOzg3PEBpam46djM6ZjhnajMzNGkzM0AzNDUtMTJfX14xNjAzYGMwYSNmbjNscjRncWhgLS1kLS9zcw%3D%3D&btag=e00028000&cquery=100a&dy_q=1709866694&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=2024030810581403DF2066FE140C624AD6,
https://www.douyin.com/video/7190578269446507814,,,懂车帝年度车盘点，新能源车已经全面超越燃油车？哪种动力形式更适合现在使用#车圈硬核年终奖出炉,,http://v26-web.douyinvod.com/c2e91388c9b121a0c4e7b74372357d78/65ea8d65/video/tos/cn/tos-cn-ve-15/o0EEIiBxAgIUXXeAQhNxNQjAKIMz5fGiQDGLUA/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=929&bt=929&cs=0&ds=4&ft=bvTKJbQQqU-mfJ40Do0OqY8hFgpi0Z82ejKJLG7moG0P3-I&mime_type=video_mp4&qs=0&rc=Njg1M2hkNTM6Ozo4ODdpZUBpMzZqNDk6Zjc0aTMzNGkzM0BiYmIxLzRjXzQxYGNgMzUtYSMtYS8vcjQwLzJgLS1kLTBzcw%3D%3D&btag=e00028000&cquery=100a&dy_q=1709866695&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=2024030810581550138B85A1D7AF6D2F9D,
https://www.douyin.com/video/7317243028303858995,,,冬天不要原地热车#热车#,,http://v26-web.douyinvod.com/ba1102a9f39ea83d1fea22e1155de62f/65ea8cfa/video/tos/cn/tos-cn-ve-15/o8Q9fjE6gJHANMClA0HQHhgIDfAjFAQx9BolBE/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=2245&bt=2245&cs=0&ds=4&ft=bvTKJbQQqU-mfJ40Do0OqY8hFgpi0Z82ejKJLG7moG0P3-I&mime_type=video_mp4&qs=0&rc=aDkzNjYzODo0ZDM0OjZpNkBpM2s2d3k5cm40cDMzNGkzM0BiYmBfLmAwNWExYi4xXjMxYSM1bzEwMmQ0MDNgLS1kLS9zcw%3D%3D&btag=e00018000&cquery=100a&dy_q=1709866695&feature_id=46a7bb47b4fd1280f3d3825bf2b29388&l=202403081058154A77597BFB2F2E554B38,
https://www.douyin.com/video/7274976047320386871,,,#懂车帝 #带你懂车 #抖音汽车 #dou是好车 #总有一款适合你,,http://v26-web.douyinvod.com/7eebc64cd36bb5b9217e0cfcd64115b2/65ea8d4b/video/tos/cn/tos-cn-ve-15c001-alinc2/oIJDI1oBAnDjfAcKw66CbeOFeBabsEGy7868rQ/?a=6383&ch=26&cr=3&dr=0&lr=all&cd=0%7C0%7C0%7C3&cv=1&br=740&bt=740&cs=0&ds=3&ft=bvTKJbQQqU-mfJ40Do0OqY8hFgpiMZ82ejKJLG7moG0P3-I&mime_type=video_mp4&qs=0&rc=OjZoOGg1OmdoPGYzODhlNEBpMztzajU6ZmV4bTMzNGkzM0AvNjBjYzBfNi0xYWE1XzRgYSNsc29wcjQwY25gLS1kLWFzcw%3D%3D&btag=e00028000&cquery=100a&dy_q=1709866696&feature_id=f0150a16a324336cda5d6dd0b69ed299&l=2024030810581529844EBD59A4DE5FAFD5,
